StockCode,Recency,Frequency,Monetary,R,F,M,RFM_Score,LoyalCustomer,Predicted_LoyalCustomer
10002,235,71,759.89,4,3,3,10,1,1
10080,18,22,119.08999999999999,3,2,1,6,0,0
10120,5,29,40.53,3,2,1,6,0,0
10123C,253,3,3.25,4,1,1,6,0,0
10124A,33,5,6.72,4,1,1,6,0,0
10124G,33,4,7.14,4,1,1,6,0,0
10125,1,91,994.84,1,3,3,7,0,0
10133,94,197,1548.42,4,4,3,11,1,1
10135,2,176,2208.64,2,4,3,9,1,1
11001,3,118,2626.49,2,3,4,9,1,1
15030,4,12,41.47,3,1,1,5,0,0
15034,2,142,948.3100000000001,2,3,3,8,0,0
15036,1,522,19075.52,1,4,4,9,1,1
15039,1,148,2001.59,1,3,3,7,0,0
15044A,4,103,1459.67,3,3,3,9,1,1
15044B,72,61,949.7800000000001,4,2,3,9,1,1
15044C,3,90,1033.99,2,3,3,8,0,0
15044D,4,86,1828.21,3,3,3,9,1,1
15056BL,1,326,16481.34,1,4,4,9,1,1
15056N,1,463,22513.940000000002,1,4,4,9,1,1
15056P,1,148,4425.02,1,3,4,8,0,0
15056bl,1,62,1086.88,1,2,3,6,0,0
15056n,9,84,1585.2800000000002,3,3,3,9,1,1
15056p,5,26,412.48,3,2,2,7,0,0
15058A,17,93,1705.84,3,3,3,9,1,1
15058B,22,99,1922.62,3,3,3,9,1,1
15058C,1,72,1429.82,1,3,3,7,0,0
15060B,21,132,1811.3,3,3,3,9,1,1
15060b,19,3,24.869999999999997,3,1,1,5,0,0
16008,1,70,360.71,1,3,2,6,0,0
16010,256,3,3.5999999999999996,4,1,1,6,0,0
16011,3,46,372.33,2,2,2,6,0,0
16012,4,35,261.24,3,2,2,7,0,0
16014,1,54,4335.76,1,2,4,7,0,0
16015,22,24,289.98,3,2,2,7,0,0
16016,1,65,1053.45,1,2,3,6,0,0
16020C,157,17,69.89999999999999,4,2,1,7,0,0
16033,295,4,100.79999999999998,4,1,1,6,0,0
16043,183,2,11.759999999999998,4,1,1,6,0,0
16045,5,68,380.0,3,3,2,8,0,0
16046,12,14,57.8,3,1,1,5,0,0
16048,2,67,205.42,2,3,2,7,0,0
16049,199,5,82.08,4,1,1,6,0,0
16052,183,13,115.3,4,1,1,6,0,0
16054,5,34,153.48000000000002,3,2,2,7,0,0
16151A,199,3,61.25,4,1,1,6,0,0
16156L,8,18,199.5,3,2,2,7,0,0
16156S,2,167,2331.0,2,3,4,9,1,1
16161G,16,22,70.0,3,2,1,6,0,0
16161M,372,1,10.5,4,1,1,6,0,0
16161P,3,249,3001.42,2,4,4,10,1,1
16161U,7,135,1698.0,3,3,3,9,1,1
16162L,88,8,13.0,4,1,1,6,0,0
16162M,12,8,11.76,3,1,1,5,0,0
16168M,1,41,173.12,1,2,2,5,0,0
16169E,1,151,1944.96,1,3,3,7,0,0
16169K,72,8,84.0,4,1,1,6,0,0
16169M,8,25,277.2,3,2,2,7,0,0
16169N,369,1,10.5,4,1,1,6,0,0
16169P,356,2,21.0,4,1,1,6,0,0
16202A,236,2,3.5,4,1,1,6,0,0
16202B,234,2,14.5,4,1,1,6,0,0
16202E,236,4,13.05,4,1,1,6,0,0
16206B,318,2,8.75,4,1,1,6,0,0
16207A,33,34,163.1,4,2,2,8,0,0
16207B,102,18,76.14,4,2,1,7,0,0
16216,3,45,234.0,2,2,2,6,0,0
16218,1,64,283.31,1,2,2,5,0,0
16219,1,101,410.59999999999997,1,3,2,6,0,0
16225,1,102,691.85,1,3,2,6,0,0
16235,1,169,703.17,1,4,3,8,0,0
16236,2,136,320.09,2,3,2,7,0,0
16237,1,291,1061.16,1,4,3,8,0,0
16238,2,134,322.09,2,3,2,7,0,0
16244B,212,2,7.85,4,1,1,6,0,0
16248B,40,7,16.25,4,1,1,6,0,0
16254,9,17,42.58,3,2,1,6,0,0
16258A,2,60,179.39,2,2,2,6,0,0
16259,27,32,335.2,3,2,2,7,0,0
17001,284,1,20.88,4,1,1,6,0,0
17003,1,242,6209.19,1,4,4,9,1,1
17007B,184,2,50.400000000000006,4,1,1,6,0,0
17011F,205,7,66.36000000000001,4,1,1,6,0,0
17012A,7,65,375.93,3,2,2,7,0,0
17012B,9,85,595.85,3,3,2,8,0,0
17012C,2,85,484.34999999999997,2,3,2,7,0,0
17012D,1,97,550.64,1,3,2,6,0,0
17012E,359,10,74.64,4,1,1,6,0,0
17012F,1,94,530.6,1,3,2,6,0,0
17013D,186,13,267.82,4,1,2,7,0,0
17014A,165,8,71.19,4,1,1,6,0,0
17021,4,47,643.14,3,2,2,7,0,0
17028J,312,1,2.52,4,1,1,6,0,0
17038,1,34,158.06,1,2,2,5,0,0
17084A,87,7,42.0,4,1,1,6,0,0
17084J,87,8,47.25,4,1,1,6,0,0
17084N,1,101,313.31,1,3,2,6,0,0
17084P,1,39,104.44,1,2,1,4,0,0
17084R,5,27,760.3199999999999,3,2,3,8,0,0
17090A,16,10,107.44999999999999,3,1,1,5,0,0
17090D,152,12,36.25,4,1,1,6,0,0
17091A,206,25,99.29,4,2,1,7,0,0
17091J,1,95,920.67,1,3,3,7,0,0
17096,143,24,455.9800000000001,4,2,2,8,0,0
17107D,4,46,436.04999999999995,3,2,2,7,0,0
17109D,233,5,32.349999999999994,4,1,1,6,0,0
17129F,4,58,555.53,3,2,2,7,0,0
17136A,36,17,33.75,4,2,1,7,0,0
17164B,317,9,12.18,4,1,1,6,0,0
17165D,331,7,28.35,4,1,1,6,0,0
17174,15,3,3.7800000000000002,3,1,1,5,0,0
17191A,6,2,15.0,3,1,1,5,0,0
18007,142,30,395.61,4,2,2,8,0,0
18094C,63,42,283.93,4,2,2,8,0,0
18097A,170,4,12.75,4,1,1,6,0,0
18097C,1,71,2173.01,1,3,3,7,0,0
18098C,123,49,658.75,4,2,2,8,0,0
18098c,353,12,263.12,4,1,2,7,0,0
20615,1,95,466.99,1,3,2,6,0,0
20616,1,71,243.53,1,3,2,6,0,0
20617,1,43,194.94,1,2,2,5,0,0
20618,3,76,286.39,2,3,2,7,0,0
20619,4,99,439.65,3,3,2,8,0,0
20622,4,51,305.8,3,2,2,7,0,0
20652,1,78,350.61,1,3,2,6,0,0
20653,4,33,95.17999999999999,3,2,1,6,0,0
20654,1,49,193.59,1,2,2,5,0,0
20655,5,99,292.29,3,3,2,8,0,0
20657,29,33,105.91,3,2,1,6,0,0
20658,74,106,668.36,4,3,2,9,1,1
20659,1,62,248.09,1,2,2,5,0,0
20661,8,33,141.15,3,2,2,7,0,0
20662,46,20,90.42,4,2,1,7,0,0
20663,53,20,66.26,4,2,1,7,0,0
20664,102,18,81.66,4,2,1,7,0,0
20665,1,156,1546.2700000000002,1,3,3,7,0,0
20666,142,17,41.53,4,2,1,7,0,0
20667,102,16,49.69,4,1,1,6,0,0
20668,1,215,1512.92,1,4,3,8,0,0
20669,1,96,447.34,1,3,2,6,0,0
20670,24,11,44.04,3,1,1,5,0,0
20671,365,2,12.5,4,1,1,6,0,0
20674,1,206,2039.98,1,4,3,8,0,0
20675,1,324,3999.37,1,4,4,9,1,1
20676,1,451,6468.56,1,4,4,9,1,1
20677,1,334,4756.09,1,4,4,9,1,1
20678,77,1,6.6,4,1,1,6,0,0
20679,1,329,10074.970000000001,1,4,4,9,1,1
20681,249,48,513.46,4,2,2,8,0,0
20682,2,243,4255.83,2,4,4,10,1,1
20684,141,35,273.81,4,2,2,8,0,0
20685,1,703,28543.76,1,4,4,9,1,1
20686,1,77,932.42,1,3,3,7,0,0
20694,17,16,187.54,3,1,2,6,0,0
20695,22,4,21.25,3,1,1,5,0,0
20696,28,30,230.81,3,2,2,7,0,0
20697,17,11,53.55,3,1,1,5,0,0
20698,17,8,43.349999999999994,3,1,1,5,0,0
20699,4,41,266.03,3,2,2,7,0,0
20700,72,54,345.17,4,2,2,8,0,0
20701,162,18,100.97,4,2,1,7,0,0
20702,44,42,577.79,4,2,2,8,0,0
20703,190,4,34.0,4,1,1,6,0,0
20704,1,45,725.5,1,2,3,6,0,0
20705,4,29,430.8,3,2,2,7,0,0
20707,4,150,469.64,3,3,2,8,0,0
20711,8,529,11054.93,3,4,4,11,1,1
20712,1,872,22518.88,1,4,4,9,1,1
20713,1,663,23462.39,1,4,4,9,1,1
20716,164,73,469.63,4,3,2,9,1,1
20717,1,414,3591.98,1,4,4,9,1,1
20718,1,580,6656.03,1,4,4,9,1,1
20719,1,841,16847.15,1,4,4,9,1,1
20723,1,734,12615.11,1,4,4,9,1,1
20724,1,1048,21947.1,1,4,4,9,1,1
20725,1,1608,36896.71,1,4,4,9,1,1
20726,1,1036,18458.28,1,4,4,9,1,1
20727,1,1295,22623.41,1,4,4,9,1,1
20728,1,1173,22078.13,1,4,4,9,1,1
20731,172,16,109.96,4,1,1,6,0,0
20733,1,206,1174.06,1,4,3,8,0,0
20734,248,26,271.21999999999997,4,2,2,8,0,0
20735,3,112,625.8,2,3,2,7,0,0
20748,11,34,751.17,3,2,3,8,0,0
20749,1,389,12677.769999999999,1,4,4,9,1,1
20750,1,389,12690.63,1,4,4,9,1,1
20751,6,199,2110.82,3,4,3,10,1,1
20752,12,150,939.35,3,3,3,9,1,1
20754,19,305,3093.06,3,4,4,11,1,1
20755,3,62,272.02,2,2,2,6,0,0
20756,17,22,53.55,3,2,1,6,0,0
20757,13,33,144.29,3,2,2,7,0,0
20758,2,42,137.7,2,2,2,6,0,0
20759,2,20,54.4,2,2,1,5,0,0
20760,15,21,58.65,3,2,1,6,0,0
20761,3,63,517.22,2,2,2,6,0,0
20762,3,56,420.08,2,2,2,6,0,0
20763,4,27,205.04,3,2,2,7,0,0
20764,2,76,610.8100000000001,2,3,2,7,0,0
20765,4,59,423.55,3,2,2,7,0,0
20766,5,57,501.07,3,2,2,7,0,0
20767,3,79,663.7099999999999,2,3,2,7,0,0
20768,3,55,441.12,2,2,2,6,0,0
20769,3,34,217.55999999999997,2,2,2,6,0,0
20770,13,72,449.8,3,3,2,8,0,0
20771,3,40,269.68,2,2,2,6,0,0
20772,1,66,623.74,1,3,2,6,0,0
20773,88,23,92.39999999999999,4,2,1,7,0,0
20774,66,44,141.23999999999998,4,2,2,8,0,0
20775,4,63,235.18999999999997,3,2,2,7,0,0
20777,1,80,282.48999999999995,1,3,2,6,0,0
20778,227,8,24.75,4,1,1,6,0,0
20780,1,28,318.19,1,2,2,5,0,0
20781,2,26,227.14000000000001,2,2,2,6,0,0
20782,1,27,373.57,1,2,2,5,0,0
20785,248,5,523.3000000000001,4,1,2,7,0,0
20793,93,5,87.75,4,1,1,6,0,0
20794,3,29,305.74,2,2,2,6,0,0
20795,4,13,125.65,3,1,1,5,0,0
20796,30,9,103.93999999999998,3,1,1,5,0,0
20798,318,6,82.2,4,1,1,6,0,0
20801,198,83,1181.8,4,3,3,10,1,1
20802,4,65,1004.54,3,2,3,8,0,0
20803,222,42,507.28,4,2,2,8,0,0
20816,225,2,15.6,4,1,1,6,0,0
20818,219,5,42.7,4,1,1,6,0,0
20819,10,27,244.72,3,2,2,7,0,0
20820,283,2,24.75,4,1,1,6,0,0
20821,16,8,143.55,3,1,2,6,0,0
20823,183,8,132.72,4,1,2,7,0,0
20826,206,8,128.4,4,1,1,6,0,0
20827,233,2,34.32,4,1,1,6,0,0
20828,2,241,3079.88,2,4,4,10,1,1
20829,1,200,2930.31,1,4,4,9,1,1
20830,68,38,411.93,4,2,2,8,0,0
20831,1,39,466.53000000000003,1,2,2,5,0,0
20832,1,83,582.88,1,3,2,6,0,0
